Tenure,Sqft,Price,Transactions,Township,Bungalow,ClusterHouse,SemiDetached,TerracedHouse,Condominium,Flat,Hostel,TownHouse,lat,lng,Type,Clusters
FREEHOLD,2449.2540180572455,765000.0,1,BARAT_DAYA,0,0,0,0,0,0,1,0,5.4141307,100.32875059999999,Landed,18
FREEHOLD,1992.1526180489786,883440.0,36,BARAT_DAYA,0,0,0,0,0,1,1,0,5.2925393,100.2661034,Landed,13
FREEHOLD,1213.4673836801496,519000.0,1,SEBERANG_PERAI_SELATAN,0,0,0,0,0,0,1,0,5.272252099999999,100.5030189,Landed,3
FREEHOLD,1101.9767659733934,470500.0,4,SEBERANG_PERAI_SELATAN,0,0,0,0,0,0,1,0,5.2733112,100.50951009999999,Landed,3
FREEHOLD,2840.789785619941,838800.0,1,SEBERANG_PERAI_SELATAN,0,0,0,0,0,0,1,0,5.1848291,100.4863027,Landed,2
,747.6635514018691,112000.0,521,SEBERANG_PERAI_TENGAH,0,0,0,0,1,1,1,0,5.4012630999999995,100.39752,Landed,9
FREEHOLD,1269.7397884333257,328888.0,11,SEBERANG_PERAI_TENGAH,0,0,0,0,1,1,1,0,5.3083877,100.48962270000001,Landed,6
FREEHOLD,1447.1185918817673,282000.0,165,SEBERANG_PERAI_TENGAH,0,0,0,0,1,1,1,0,5.337168,100.454872,Landed,17
FREEHOLD,713.6418269230769,95000.0,1,SEBERANG_PERAI_TENGAH,0,0,0,0,0,0,1,0,5.315658999999999,100.4398132,Landed,11
FREEHOLD,1966.4732430689878,457500.0,1,SEBERANG_PERAI_TENGAH,0,0,0,0,0,0,1,0,5.3852660000000006,100.411637,Landed,9
FREEHOLD,3763.973105638741,1825000.0,1,TIMUR_LAUT,0,0,0,0,0,0,1,0,5.4204195,100.3024033,Landed,18
FREEHOLD,1789.4492214733907,770000.0,4,BARAT_DAYA,0,0,1,1,0,0,0,0,5.4130769999999995,100.4381971,Landed,9
FREEHOLD,1360.2720544108822,340000.0,97,BARAT_DAYA,0,0,1,1,0,0,0,0,5.370098400000001,100.2200627,Landed,19
FREEHOLD,781.002972238032,123500.0,7,BARAT_DAYA,0,0,1,1,0,0,0,0,5.2925763,100.2312749,Landed,13
,1824.6273557966877,638984.5,164,BARAT_DAYA,1,1,1,1,0,0,0,0,5.372216099999999,100.2184963,Landed,19
FREEHOLD,1943.3262606833368,980000.0,25,BARAT_DAYA,0,0,1,1,0,0,0,0,5.2843517,100.2846849,Landed,13
FREEHOLD,2917.021165766673,1680000.0,42,BARAT_DAYA,1,0,1,0,0,0,0,0,5.336532900000001,100.3089228,Landed,16
,647.6124686987307,150000.0,703,BARAT_DAYA,0,1,1,1,0,0,0,0,5.328861,100.2957722,Landed,1
,2011.253695665849,639458.0,6,BARAT_DAYA,0,0,1,1,0,0,0,1,5.294464,100.2593272,Landed,13
FREEHOLD,1323.1888852133643,9000000.0,2,BARAT_DAYA,0,0,1,0,0,0,0,0,5.478137,100.2528659,Landed,15
FREEHOLD,2603.8331839330685,1220000.0,11,BARAT_DAYA,0,0,1,0,0,0,0,0,5.322579,100.26493020000001,Landed,1
FREEHOLD,3665.684223386222,2400400.0,22,BARAT_DAYA,1,0,1,0,0,0,0,0,5.322579,100.26493020000001,Landed,1
FREEHOLD,1505.2792292970346,700000.0,283,BARAT_DAYA,1,0,1,1,0,0,0,1,5.319636900000001,100.2640361,Landed,1
FREEHOLD,1691.4749661705007,800000.0,183,BARAT_DAYA,1,0,1,1,0,0,0,1,5.318395,100.2666719,Landed,1
FREEHOLD,1721.0126479154362,845000.0,39,BARAT_DAYA,0,0,1,1,0,0,0,1,5.3330583,100.29385079999999,Landed,1
FREEHOLD,1003.3921947817265,316500.0,16,BARAT_DAYA,1,0,1,0,0,0,0,0,5.2914195,100.2524767,Landed,13
FREEHOLD,2721.63582146069,1150000.0,3,BARAT_DAYA,1,0,1,0,0,0,0,0,5.3633039,100.2136577,Landed,19
FREEHOLD,3727.4865980176633,966500.0,10,BARAT_DAYA,0,0,1,0,0,0,0,0,5.4157487,100.3272561,Landed,18
FREEHOLD,2531.0123587220883,2299855.0,5,BARAT_DAYA,0,0,1,0,0,0,0,0,5.3036791,100.25912729999999,Landed,13
,1246.352140077821,820000.0,17,BARAT_DAYA,1,1,1,1,0,0,0,0,5.281435,100.2730751,Landed,13
FREEHOLD,1009.8743267504487,180000.0,1,BARAT_DAYA,0,0,1,0,0,0,0,0,5.370072,100.20734870000001,Landed,19
FREEHOLD,3166.4547700722046,1320000.0,3,BARAT_DAYA,0,0,1,0,0,0,0,0,5.2937358,100.25412800000001,Landed,13
,1299.6296055624148,200000.0,27,BARAT_DAYA,1,0,1,1,0,0,0,0,5.457317,100.213573,Landed,15
FREEHOLD,1193.136623612742,315000.0,2,BARAT_DAYA,0,0,1,0,0,0,0,0,5.350316,100.23495009999999,Landed,19
,2246.7893890264763,880000.0,34,BARAT_DAYA,1,0,1,0,0,0,0,0,5.2853444000000005,100.28626120000001,Landed,13
FREEHOLD,924.951938771809,510000.0,18,BARAT_DAYA,0,0,1,0,0,0,0,0,5.3745715999999994,100.4307289,Landed,9
,1088.0504855425293,800000.0,47,BARAT_DAYA,1,0,1,1,0,0,0,0,5.3299876,100.26702309999999,Landed,1
FREEHOLD,619.029050497173,63500.0,6,BARAT_DAYA,1,0,1,0,0,0,0,0,5.444474,100.2171532,Landed,15
